account,total_amount,transaction_count
C1779255272,0,00,1
C1208826944,0,00,1
C1063891302,0,00,1
C1190042877,0,00,1
C1300422354,0,00,1
C1014466471,2,39,1
C971941110,6,36,1
C821664929,10,48,1
C437671997,19,06,1
C607657546,21,49,1
C1381209636,24,75,1
C1308116031,54,35,1
C2051378291,59,12,1
C1159606185,59,59,1
C6688524,61,68,1
C1265189536,68,09,1
C1154759881,68,95,1
C1761057660,71,29,1
C167318637,72,23,1
C643197702,77,62,1
C2034975583,79,26,1
C1278226232,79,55,1
C1877547288,83,01,1
C16957838,85,42,1
C199907649,87,34,1
C2044082767,88,17,1
C416322179,103,64,1
C1810518740,106,81,1
C318771502,108,11,1
C167013780,112,56,1
C1939178534,114,16,1
C150330556,115,38,1
C2004952636,115,43,1
C1231956957,115,94,1
C694234850,131,97,1
C1866484678,132,00,1
C1419765033,136,37,1
C1166203398,142,36,1
C38709021,170,96,1
C159936195,173,52,1
C1066437136,174,29,1
C567632329,180,45,1
C1048421579,215,05,1
C988355532,219,68,1
C951404180,230,13,1
C1494257599,243,96,1
C500483729,253,22,1
C1268390885,270,88,1
C1909501184,276,20,1
C723569389,295,31,1
C1814943883,295,78,1
C855914030,300,74,1
C442940993,307,63,1
C1859945349,309,12,1
C1170278008,323,01,1
C791707596,332,23,1
C17608784,332,52,1
C1187589415,332,63,1
C1098082328,336,05,1
C213727345,337,38,1
C1950069658,341,66,1
C2058455022,346,08,1
C1032575105,379,90,1
C1599146281,382,59,1
C1146848727,385,39,1
C2080917019,385,43,1
C495982334,386,54,1
C1299866826,392,99,1
C1173564178,393,70,1
C1008719274,394,24,1
C464773456,406,26,1
C315833722,408,24,1
C1374887853,411,33,1
C194109476,449,26,1
C1424788681,449,97,1
C1931851654,450,21,1
C1199833406,452,57,1
C940938116,453,25,1
C231182885,458,45,1
C439636632,462,23,1
C517929856,466,73,1
C49365994,504,83,1
C1186712450,532,61,1
C1805606351,556,80,1
C771406570,590,23,1
C1536199789,642,57,1
C861939497,656,31,1
C1523661796,660,23,1
C1584266306,670,96,1
C1635496737,720,37,1
C1727239209,769,84,1
C1087177468,808,34,1
C1035671179,839,71,1
C2079571758,1014,52,1
C1800970489,1058,39,1
C2028177061,1095,24,1
C2048648662,1228,91,1
C1474515510,1255,85,1
C966319659,1380,11,1
C98741020,1410,56,1
C370343350,1419,98,1
C1441963321,1460,00,1
C1292543858,1608,89,1
C251703690,1926,14,1
C530638248,2025,97,1
C1281995670,2036,46,1
C1330012679,2043,74,1
C540501426,2043,80,1
C520296852,2047,33,1
C1521179441,2057,11,1
C1755429681,2058,78,1
C994588190,2059,07,1
C257361295,2061,86,1
C742970403,2475,82,1
C451209405,2675,43,1
C1698120998,2734,82,1
C2138061300,2799,85,1
C967701734,2834,08,1
C158605330,2894,91,1
C1697117834,2910,94,1
C1022566663,2977,78,1
C524415577,2991,18,1
C69156708,2997,29,1
C773528866,3060,20,1
C454968048,3250,37,1
C221850042,3343,03,1
C443789561,3347,26,1
C531523096,3465,66,1
C1264267888,3478,79,1
C1690893563,3483,45,1
C1037463541,3485,42,1
C1023606628,3485,75,1
C15848947,3530,38,1
C1902801188,3533,32,1
C1262371411,3535,08,1
C797224183,3535,73,1
C1228606217,3539,89,1
C1783130875,3541,16,1
C2081868837,3639,28,1
C1724420046,3646,20,1
C1324815455,3687,46,1
C333884294,3702,20,1
C1135188106,3702,39,1
C393476856,3727,23,1
C148966649,3732,36,1
C1475759966,3734,21,1
C45643137,3735,16,1
C289571900,3737,22,1
C224468764,3738,26,1
C176320504,3743,99,1
C2008013765,3747,13,1
C1901190557,3751,13,1
C972540998,3764,45,1
C1573849496,3768,03,1
C499950630,3768,10,1
C816821377,3770,26,1
C1820969262,3772,29,1
C92510173,3780,47,1
C2046545652,3810,43,1
C400761853,3851,72,1
C273066660,3922,01,1
C938958527,3941,31,1
C1842040624,3966,45,1
C1048135485,4018,89,1
C2007411359,4047,79,1
C1459653060,4139,79,1
C2047006560,4156,18,1
C1798239502,4158,31,1
C1571465824,4160,86,1
C1836725311,4171,83,1
C1054074477,4171,95,1
C1729917416,4172,18,1
C2105375514,4180,78,1
C1470911015,4182,93,1
C1438120433,4185,71,1
C1477073774,4307,38,1
C487264509,4322,53,1
C1866841666,4470,86,1
C654982383,4562,64,1
C908696451,4671,39,1
C1092646857,4733,37,1
C37897450,4841,21,1
C1864933502,4895,10,1
C786196112,5047,01,1
C1086930339,5093,86,1
C96974084,5093,97,1
C299358529,5096,16,1
C1430358188,5096,21,1
C568564610,5105,25,1
C350972994,5105,27,1
C2032607391,5128,14,1
C713064949,5203,96,1
C622702995,5238,34,1
C1473623671,5247,92,1
C921304399,5306,87,1
C769853788,5449,92,1
C1206258545,5469,25,1
C654153282,5471,45,1
C1061633455,5503,71,1
C1612762434,5552,23,1
C2011319612,5563,16,1
C858768220,5593,85,1
C514983875,5594,04,1
C1213290808,5596,59,1
C1432547991,5653,02,1
C2062121560,5664,36,1
C860144087,5680,34,1
C230854004,5688,89,1
C1645387671,5698,67,1
C962090205,5704,64,1
C1571036418,5728,21,1
C1798380773,5738,02,1
C2084324667,5743,03,1
C270447913,5744,40,1
C1236745836,5744,47,1
C1433988478,5783,05,1
C493801605,5803,59,1
C1618425865,5804,72,1
C1176077642,5807,09,1
C467364662,5821,46,1
C1042555191,5875,72,1
C839122851,5933,77,1
C508269970,5938,85,1
C1082609492,5939,55,1
C737096679,5955,29,1
C1910622204,5962,29,1
C755759908,5965,13,1
C1493104631,5966,29,1
C409529684,5972,35,1
C498905609,5972,77,1
C1680548214,5975,73,1
C586634949,6008,89,1
C1937433626,6022,93,1
C1227983914,6036,56,1
C95655406,6037,15,1
C692315676,6050,35,1
C685189361,6059,38,1
C728110179,6063,34,1
C1428911233,6132,71,1
C1165871113,6185,97,1
C1998269275,6192,38,1
C975284962,6224,41,1
C1939144888,6285,19,1
C1871265445,6292,71,1
C1540325638,6666,61,1
C1834895023,6691,69,1
C456872530,6769,62,1
C381892750,6863,38,1
C471999362,6863,99,1
C328690775,6864,68,1
C582146531,6876,93,1
C984832924,6887,71,1
C1065451454,6895,23,1
C1411222174,6933,54,1
C766565657,6960,63,1
C1798967633,7065,20,1
C1315149156,7113,65,1
C279772720,7157,22,1
C233255789,7180,44,1
C1372674712,7567,92,1
C1683096716,7606,59,1
C1925117845,7733,71,1
C424305981,7788,88,1
C176776385,7827,79,1
C1403442684,8015,47,1
C275710033,8072,47,1
C1820051628,8164,10,1
C1847707373,8170,10,1
C1483641522,8239,66,1
C2086255982,8276,17,1
C464886357,8894,27,1
C160221123,9021,68,1
C1797028639,9970,16,1
C429407697,9972,12,1
C111960027,10167,71,1
C1967335114,11001,90,1
C683517513,11510,47,1
C1335472383,14093,90,1
C1694312470,17686,08,1
C1060814439,17899,15,1
C1603277895,19080,06,1
C186415926,114837,89,1
C355447775,118577,00,1
C930204377,135720,15,1
C47418566,246846,74,1
C976156057,247066,24,1
C572980523,248431,72,1
C276195836,251863,34,1
C509532371,273930,25,1
C747199999,285656,95,1
C792739082,286381,33,1
C486261710,290528,69,1
C1698185801,295226,09,1
C2082418981,302788,52,1
C167599568,303393,13,1
C127384820,303693,11,1
C836211136,309799,70,1
C712147062,316493,12,1
C1021138110,317806,64,1
C703824017,317831,06,1
C1100926586,323892,84,1
C1648700617,324397,94,1
C1717442773,326244,05,1
C1486521007,329109,11,1
C1124973744,329503,27,1
C1795102078,335362,53,1
C726998651,337085,02,1
C1253733911,337588,80,1
C691691381,338767,10,1
C881407635,338961,93,1
C376017690,339163,04,1
C1161149894,340369,30,1
C731827461,340473,03,1
C1505720819,340862,96,1
C5112121,340936,73,1
C1398998658,341128,83,1
C748673892,342332,55,1
C907875994,342464,49,1
C1647799261,343046,11,1
C1278700356,343435,88,1
C793293778,344464,40,1
C2021011079,344693,57,1
C58387611,347259,03,1
C698325633,371574,20,1
C984522383,379699,71,1
C1497215635,388950,76,1
C837596001,393091,20,1
C800329289,396017,83,1
C790020639,397080,05,1
C83544669,398355,54,1
C1342958495,399635,37,1
C86914267,400589,96,1
C2105634098,401672,66,1
C348921692,405812,31,1
C288663860,409358,66,1
C117556243,412292,82,1
C1049202430,413692,19,1
C474647699,423000,44,1
C1390694257,436465,06,1
C292568264,457008,04,1
C172499664,461511,97,1
C2062929510,462678,47,1
C1072154748,492198,86,1
C1617300769,506721,82,1
C255964413,514750,17,1
